word,happiness_average,happiness_standard_deviation,corpus_presence,category
laughter,8.5,0.9313,"Twitter, Lyrics",Very Positive
happiness,8.44,0.9723,"Twitter, Google, Lyrics",Very Positive
love,8.42,1.1082,"Twitter, Google, NYT, Lyrics",Very Positive
happy,8.3,0.9949,"Twitter, Google, NYT, Lyrics",Very Positive
laughed,8.26,1.1572,"Twitter, Google, Lyrics",Very Positive
suicide,1.3,0.8391,"Twitter, Google, NYT, Lyrics",Very Negative
terrorist,1.3,0.9091,"Twitter, NYT",Very Negative
rape,1.44,0.7866,"Twitter, NYT, Lyrics",Very Negative
murder,1.48,1.015,"Twitter, Google, NYT, Lyrics",Very Negative
terrorism,1.48,0.9089,NYT,Very Negative
fucking,4.64,2.926,"Twitter, Lyrics",Highly Contested
fuckin,3.86,2.7405,"Twitter, Lyrics",Highly Contested
fucked,3.56,2.7117,"Twitter, Lyrics",Highly Contested
pussy,4.8,2.665,"Twitter, Lyrics",Highly Contested
whiskey,5.72,2.6422,Lyrics,Highly Contested
internet,7.48,1.313,"Twitter, Google, NYT",Interesting/Culturally Loaded
cool,7.2,1.3401,"Twitter, Google, NYT, Lyrics",Interesting/Culturally Loaded
google,7.2,1.3093,Twitter,Interesting/Culturally Loaded
obama,5.94,2.161,Twitter,Interesting/Culturally Loaded
lit,5.64,1.3056,"Twitter, Lyrics",Interesting/Culturally Loaded
