category,word,happiness_average,happiness_standard_deviation,twitter_rank,google_rank,nyt_rank,lyrics_rank
very_positive,laughter,8.5,0.9313,3600.0,,,1728.0
very_positive,happiness,8.44,0.9723,1853.0,2458.0,,1230.0
very_positive,love,8.42,1.1082,25.0,317.0,328.0,23.0
very_positive,happy,8.3,0.9949,65.0,1372.0,1313.0,375.0
very_positive,laughed,8.26,1.1572,3334.0,3542.0,,2332.0
very_negative,terrorist,1.3,0.9091,3576.0,,3026.0,
very_negative,suicide,1.3,0.8391,2124.0,4707.0,3319.0,2107.0
very_negative,rape,1.44,0.7866,3133.0,,4115.0,2977.0
very_negative,terrorism,1.48,0.9089,,,3192.0,
very_negative,murder,1.48,1.015,2762.0,3110.0,1541.0,1059.0
highly_contested,fucking,4.64,2.926,448.0,,,620.0
highly_contested,fuckin,3.86,2.7405,1077.0,,,688.0
highly_contested,fucked,3.56,2.7117,1840.0,,,904.0
highly_contested,pussy,4.8,2.665,2019.0,,,949.0
highly_contested,whiskey,5.72,2.6422,,,,2208.0
weird_or_culturally_loaded,weekend,8.0,1.2936,317.0,,833.0,2256.0
weird_or_culturally_loaded,whiskey,5.72,2.6422,,,,2208.0
weird_or_culturally_loaded,churches,5.7,2.4599,,2281.0,,
weird_or_culturally_loaded,capitalism,5.16,2.4524,,4648.0,,
weird_or_culturally_loaded,porn,4.18,2.4302,1801.0,,,
