title,category,score,note
Paris,Western,6.86,Highest in category
Heroic Landscape with Rainbow,Western,6.83,Highest in category
Allegory of Music,Western,6.48,Highest in category
Platter (Ōzara) with Pine Tree,Eastern,6.42,Highest in category
Madonna and Child,Eastern,6.23,Highest in category
"Volcanic Islands in Mono Lake, California",Eastern,6.22,Highest in category
War club,Western,3.83,Lowest in category
The Storm,Western,4.62,Lowest in category
Processional Cross,Western,4.68,Lowest in category
The Death of Socrates,Eastern,3.82,Lowest in category
Manuel Osorio Manrique de Zuñiga (1784–1792),Eastern,4.82,Lowest in category
The Actor Segawa Kikunojō III as Wappa no Kikuō in a Woman’s “Asahina Armor Pulling” (Asahina no kusazuri-biki) Scene,Eastern,4.94,Lowest in category
